study_hours,sleep_hours,score_simple,score_multiple,score_curved
3.815773,6.707829,45.435077,55.104504,75.038726
8.348698,6.896512,72.674969,75.237053,81.987037
2.107154,6.748023,37.794978,48.903139,55.215198
2.798944,7.152563,43.181946,52.208504,69.310880
0.584666,8.471492,33.594062,50.214271,47.868982
9.549630,4.433342,80.254588,72.972111,75.538107
8.145785,6.763150,72.665905,71.545157,75.918223
8.609402,7.176512,75.311460,77.218420,74.442865
9.478384,7.295994,80.642211,82.754268,72.957328
5.777531,6.628085,58.603844,65.908835,81.399163
7.040524,5.243278,68.728475,66.479341,76.052343
2.107665,7.327995,42.495959,51.938617,61.484875
1.817096,8.727350,40.400684,53.928336,51.410689
8.186634,5.466139,74.502227,68.612632,78.353469
5.917606,7.863828,61.956150,69.351582,79.739336
7.000215,6.671475,71.171287,69.918500,91.353107
9.297487,6.938676,79.102492,81.324706,69.895149
7.799261,5.947101,70.721915,71.877737,86.510997
6.866163,6.665544,64.883609,68.596050,80.995682
6.930882,8.300045,64.669151,72.417363,82.189301
3.995426,7.582655,48.686815,59.767541,72.908764
0.854405,8.732312,32.750752,51.686864,49.633625
5.522250,8.177412,59.126564,67.953593,77.654459
2.967724,7.439087,46.397526,54.809131,72.669634
5.198079,8.743935,57.652105,69.152235,75.355808
10.314135,7.438993,83.133847,84.305383,76.440500
3.190304,7.827988,48.708981,56.868679,64.732663
1.170482,6.703429,37.682377,46.600078,50.610122
3.735915,7.066546,49.481052,56.953617,66.143645
3.876328,6.302576,49.238707,56.039713,73.791513
8.112040,7.989584,74.090667,78.424634,85.913133
6.905870,5.821696,66.977057,64.543764,79.984953
9.514829,7.782350,77.532341,82.240977,74.339785
8.139606,6.809349,73.003950,76.505005,74.344288
5.173449,8.171247,57.943351,65.098667,76.299682
9.861234,7.750869,80.465153,81.072737,66.509886
2.420189,8.820646,43.206686,55.114054,57.955596
0.761189,7.730775,31.124656,47.826899,47.662306
1.535550,5.427960,40.810789,43.558049,60.357936
8.807133,6.933047,79.173702,77.237864,90.396293
5.811588,5.827993,60.296383,63.717214,76.391052
2.354625,6.481720,43.206424,46.150755,68.001734
6.262015,8.511228,58.368835,72.877891,80.910159
2.251589,7.637534,39.620727,55.788622,60.029250
8.507684,6.301070,74.503169,72.502489,80.515298
5.630797,5.986283,57.698959,61.109583,78.898195
4.881744,7.032782,57.302037,60.902541,76.820998
3.967389,5.783440,55.021755,53.035045,70.392020
7.748250,6.328860,68.712495,70.755957,73.657435
4.660845,7.312009,53.027552,64.183038,68.518872
1.507974,8.155312,38.463159,54.884975,57.102403
1.857068,7.608761,43.064692,51.272399,56.108268
11.561823,4.708710,88.832914,84.172756,60.435086
10.948678,7.304367,88.526065,87.222050,67.529894
8.546632,7.072034,78.939748,79.447572,82.048598
3.557505,7.413890,45.551256,57.814519,70.744230
11.645528,8.616210,89.159162,94.350571,59.518512
9.455635,4.936762,79.267654,74.168391,80.988258
8.744237,6.408897,75.303280,80.253698,85.044750
5.667657,7.590906,61.663786,68.238458,80.933404
3.630778,5.418406,49.726443,50.801113,74.745655
1.608496,8.475949,34.975105,55.010518,60.691602
10.879928,7.368357,88.694437,86.555703,73.027677
5.741427,7.846584,59.274487,67.340153,81.641185
2.827179,6.429056,47.532942,53.244597,67.824708
4.018501,7.813764,50.042881,61.124677,74.834388
7.161025,8.068472,66.680202,74.881073,75.406043
2.532887,7.232878,44.506564,53.297736,66.094709
10.351064,7.234401,86.386494,85.059215,65.038757
9.222975,7.270343,79.777964,80.794446,72.796226
8.773824,6.136655,73.130073,71.827141,83.718941
5.469070,6.852471,60.062140,64.804047,81.985713
7.714052,6.847477,68.815858,71.295105,86.681308
7.217127,7.383394,68.721323,70.331918,79.109106
7.973236,7.999824,69.410681,77.404764,74.457094
1.471110,5.941464,38.689526,45.023095,52.731810
5.281785,6.874991,56.380263,62.086852,78.127896
0.978563,8.481456,32.621115,52.301458,49.284258
6.180894,6.256412,64.186381,62.730833,84.799358
4.293404,6.177750,53.238330,56.332000,72.226811
2.162028,7.202306,40.230796,50.818181,61.555282
1.689134,7.844385,41.854769,51.788688,51.395589
7.257913,7.011426,67.585632,71.886510,82.345678
2.461819,8.328961,43.111857,54.988111,62.404348
11.138881,7.856794,89.573898,90.783690,62.828940
7.182203,7.841820,66.826345,73.917140,79.278770
4.489003,7.554117,54.733987,59.291264,73.910768
7.295528,9.327653,67.599395,76.092715,79.089618
0.762245,6.794838,33.216619,44.773982,54.624106
11.523431,4.996478,93.799469,81.751001,62.967123
6.046490,8.604254,59.965222,71.564442,78.384312
9.501455,6.542301,75.532151,78.899209,65.842930
1.451395,7.107880,40.914267,48.889137,49.602242
6.096571,8.309551,67.410481,72.398320,78.382070
6.143130,5.397740,61.748053,60.178634,76.553884
11.285004,5.748353,85.936846,81.776788,71.389113
7.074873,5.398722,66.875857,63.935415,79.610502
5.945128,6.205864,60.936733,64.072651,85.096670
3.570220,7.439637,48.542319,59.955139,70.285811
4.313043,7.524188,50.632354,60.682566,74.112055
6.487733,7.276274,65.544105,65.482458,79.676134
5.547482,5.587234,60.450668,57.513087,78.428494
0.748539,4.689897,30.978445,36.752270,54.240781
10.002357,7.054354,84.410886,81.746767,62.549961
10.805849,6.528224,91.376369,83.501129,59.411816
2.112865,7.459386,41.542103,52.379364,57.115539
6.871416,7.701954,65.743853,71.664295,80.388463
1.748621,7.138241,38.983685,51.410866,59.489898
8.230761,7.760133,74.853547,76.741444,81.314412
3.734189,7.229211,46.329856,56.776754,69.228616
8.083360,7.530065,73.170591,77.147962,84.046414
8.860438,6.295327,76.179394,73.283335,82.229878
9.339446,6.820389,83.194715,79.767566,76.760148
1.739021,7.196776,38.868465,50.139597,60.629645
11.034136,7.820528,91.816697,88.941072,68.147201
3.147461,6.606259,44.474061,56.112286,64.822324
0.930244,7.521167,36.104814,46.855402,51.567557
6.880803,6.734161,67.107059,72.162977,80.823763
4.765606,6.882458,53.519619,60.748143,75.888952
10.042582,7.829519,83.580477,83.309264,79.413840
9.794892,5.006940,84.337965,75.306654,62.960857
4.147097,5.703528,51.332032,53.225310,66.766935
11.458343,5.517815,87.345293,82.362745,58.558718
3.845555,4.666384,50.346317,50.910199,69.941939
6.423157,6.321736,62.237886,66.755555,78.863743
3.443599,7.749434,47.566390,57.639331,62.460602
11.264501,6.715116,89.538680,88.027483,60.885165
2.392990,7.197790,39.271542,54.341150,57.974651
1.016472,8.089217,32.155986,52.105837,60.377841
5.503616,8.327686,60.133299,69.457180,86.404911
11.912319,6.930862,92.089853,91.873178,58.477113
10.754289,8.353586,81.868241,86.927431,67.108824
9.108992,7.092127,79.847347,78.653914,71.608810
10.744114,6.162602,87.488542,81.396272,60.222196
10.774636,6.405600,85.677823,83.775303,68.090805
6.466871,5.519463,61.640757,62.672594,75.564761
4.133184,6.111866,53.577492,55.841471,72.695653
9.378143,6.641983,80.402859,81.590181,68.579659
8.109105,7.803585,77.743459,77.153310,75.986429
4.797064,8.720770,56.264816,67.715407,76.673540
1.586367,5.617818,39.183150,43.974082,56.545268
9.088081,7.392827,77.832971,80.122940,78.731364
3.518296,5.959456,50.280520,53.152468,63.755705
11.273351,7.474697,90.998932,89.684922,69.101120
3.271162,6.868913,49.840607,56.813130,64.557563
1.911716,5.169094,39.089450,46.659057,60.681995
10.057796,7.928297,82.435502,86.066163,72.660308
2.262770,6.394999,41.034473,50.399397,54.607384
2.561586,6.466100,45.158007,49.211565,61.738674
7.392902,5.930248,72.179130,68.416586,81.902211
10.557463,6.345717,85.036875,83.946582,72.706876
2.758999,7.427890,43.773145,56.104197,64.003276
4.068722,6.810756,52.192382,58.386722,79.646346
9.440156,7.328662,79.541302,82.541932,80.066608
11.676004,7.361922,93.786928,90.998316,61.077396
6.258524,8.320662,58.666621,73.460671,83.184081
2.154821,6.657214,39.767143,50.356408,68.613160
0.660267,5.523142,31.934584,39.781577,54.374828
3.141044,8.067222,42.006823,58.883051,61.780297
2.015956,6.668512,38.757287,45.007168,54.567602
8.293075,8.114592,72.122984,79.713323,85.740206
1.901074,7.383377,39.673482,45.758483,52.978652
6.322794,6.868862,65.736741,64.686342,73.941028
8.484018,7.348776,74.475174,78.129808,76.438565
7.182841,8.951013,66.007430,78.090898,82.230888
2.797420,9.076981,44.712417,58.492374,64.456530
9.747432,7.069381,83.759737,80.543595,71.281081
8.727182,7.160191,74.302147,79.877149,74.953078
8.998316,8.076240,75.869925,81.111187,73.950038
2.007164,6.154339,41.755068,51.086922,54.703775
1.923169,7.333070,39.749722,51.155620,68.201582
11.166969,6.974137,90.479907,87.597170,67.346408
5.072149,7.313908,56.855097,66.118415,80.988513
3.960910,6.166631,52.396150,55.773400,69.994584
6.118717,5.410433,60.359041,60.284734,78.764905
8.122938,4.927017,73.027404,68.093616,76.179459
11.489667,5.882616,90.473857,84.729625,51.732732
3.794132,6.541325,47.677116,54.061653,65.092418
11.135297,6.706808,85.890118,85.619227,58.080167
0.785884,8.937231,35.536684,50.629388,36.781611
6.884777,8.105993,65.787416,74.864825,74.948078
7.790714,6.037909,69.246222,70.536081,85.859928
1.717820,7.347708,38.912089,49.959754,55.905609
2.113905,6.592922,43.459736,49.393698,65.376095
5.319815,6.715636,53.633542,63.103977,79.631834
11.611667,7.185326,88.548558,90.364931,66.255330
7.354489,7.619171,67.133021,72.299737,76.224599
11.229767,6.660742,92.440123,84.671060,67.923466
9.750151,8.063852,82.240972,86.461946,77.475400
5.874888,5.858062,62.671543,61.626846,76.566581
9.524780,7.006339,78.201010,78.394141,77.702074
0.705123,9.500000,31.498080,53.886211,48.586702
1.755156,7.223080,40.197954,50.829534,53.970398
10.038429,8.433215,83.320223,84.843930,67.754141
9.663397,7.091520,82.313479,81.690673,69.258133
3.175369,7.580777,46.454111,58.063335,67.923177
6.603850,6.943217,65.556694,69.195275,81.648535
7.469182,6.829592,69.902902,72.679396,76.643440
10.478998,6.220518,87.094224,79.715245,70.529621
7.435732,7.430301,71.023398,74.016454,82.799607
5.244573,6.148463,54.556493,60.199444,80.337020
4.803116,7.665585,50.961980,63.018154,83.011420
5.397644,8.085287,60.611004,68.769328,83.753765
