practice_hours,quiz_score,passed,skill_level
2.097,47.971,0,0
5.483,96.455,1,2
1.287,46.947,0,0
6.610,75.490,0,1
2.817,56.079,0,0
0.886,86.700,1,1
1.652,53.069,0,0
6.053,74.287,1,1
6.870,71.199,0,1
3.748,67.870,0,1
6.935,70.699,0,1
4.021,69.466,0,1
1.807,60.321,0,0
3.652,70.472,1,1
4.453,52.754,0,0
9.626,52.287,0,0
1.657,76.366,0,1
1.362,70.596,0,0
6.115,77.035,1,1
10.134,74.017,0,1
9.573,78.091,0,1
7.502,60.037,0,0
1.168,99.052,1,2
8.564,59.352,0,0
7.334,58.796,0,0
1.939,60.302,0,0
5.149,46.967,0,0
0.993,99.519,1,2
8.519,91.660,1,2
7.686,98.461,1,2
8.546,70.144,0,1
8.104,90.650,1,2
3.173,88.715,1,2
8.397,56.783,0,0
2.992,74.668,1,1
1.879,48.323,0,0
4.404,89.299,1,2
5.478,64.321,0,1
3.358,90.680,1,2
6.558,78.950,1,1
6.525,76.057,1,1
2.898,60.098,0,0
6.726,88.192,1,2
4.073,56.719,0,0
7.847,52.329,0,0
3.404,62.437,0,1
8.488,82.061,1,1
4.651,84.792,1,2
6.032,49.493,0,0
7.233,95.617,1,2
5.684,56.064,0,0
3.076,93.527,1,2
10.294,75.428,0,1
1.461,99.045,1,2
3.749,49.760,0,0
5.991,77.304,1,1
0.787,71.458,0,0
2.049,55.469,0,0
8.493,86.194,1,2
8.338,70.863,0,1
6.870,92.499,1,2
9.518,91.061,1,2
8.055,57.866,0,0
3.488,63.099,0,1
6.949,59.140,0,0
3.901,85.925,1,2
7.998,90.798,1,2
4.348,88.825,1,2
2.032,45.063,0,0
9.265,78.276,1,1
7.404,46.852,0,0
7.947,99.420,1,2
6.096,94.128,1,2
8.329,64.909,0,1
4.979,64.206,0,1
6.158,51.069,0,0
1.126,75.245,0,1
6.051,80.659,1,1
8.646,85.113,1,2
7.555,52.826,0,0
8.532,75.159,0,1
5.461,83.554,1,2
9.313,89.990,1,2
1.583,45.992,0,0
9.257,71.700,0,1
4.213,61.501,0,1
1.410,75.061,0,1
6.693,74.683,1,1
5.049,66.716,0,1
4.784,97.755,1,2
9.020,79.684,1,1
1.878,62.456,0,0
6.669,96.792,1,2
4.638,63.869,0,1
5.783,88.058,1,2
5.494,86.122,1,2
1.841,52.553,0,0
5.620,64.163,0,1
9.121,57.995,0,0
2.212,97.446,1,2
0.615,68.850,0,0
1.176,93.490,1,2
5.098,78.765,1,1
10.245,87.196,1,2
0.942,57.726,0,0
10.409,65.842,0,0
5.861,90.244,1,2
1.701,83.897,1,1
4.685,95.877,1,2
2.574,87.768,1,2
7.642,81.879,1,1
5.915,82.037,1,2
3.380,60.087,0,0
3.054,52.794,0,0
9.170,77.511,1,1
8.162,77.552,1,1
4.862,92.691,1,2
4.555,58.899,0,1
7.875,58.563,0,0
10.207,95.855,1,2
1.296,71.492,0,0
2.091,71.676,0,1
4.123,80.707,1,2
5.577,45.476,0,0
1.214,55.161,0,0
1.035,95.212,1,2
2.695,52.010,0,0
4.360,95.974,1,2
7.893,95.728,1,2
6.599,48.360,0,0
0.792,73.525,0,1
0.950,61.517,0,0
5.020,81.707,1,2
9.249,96.308,1,2
9.650,61.897,0,0
4.151,52.631,0,0
9.374,96.414,1,2
9.791,87.529,1,2
4.566,65.220,0,1
7.961,91.772,1,2
4.153,73.881,1,1
2.036,50.726,0,0
6.252,65.711,0,1
1.364,85.736,0,1
7.134,62.247,0,0
8.592,80.545,1,1
9.654,54.628,0,0
4.980,87.978,1,2
1.674,56.283,0,0
9.525,63.435,0,0
9.204,87.508,1,2
10.176,55.798,0,0
6.440,69.966,0,1
7.234,89.566,1,2
4.233,80.203,1,2
2.331,49.376,0,0
3.417,50.600,0,0
7.707,87.474,1,2
3.750,47.951,0,0
7.416,53.608,0,0
5.522,48.401,0,0
4.990,55.589,0,0
10.176,79.075,0,1
2.161,61.687,0,0
5.372,46.408,0,0
2.097,80.895,1,1
9.875,77.154,0,1
5.386,74.974,1,1
3.820,78.061,1,1
2.183,79.914,1,1
6.441,55.679,0,0
4.490,45.790,0,0
1.772,66.671,0,0
0.824,45.904,0,0
4.413,67.929,1,1
6.332,90.480,1,2
5.688,50.955,0,0
9.500,82.607,1,1
9.616,78.496,0,1
9.863,91.580,1,2
8.497,73.896,0,1
5.276,82.694,1,2
5.738,86.992,1,2
4.473,78.683,1,1
4.495,56.404,0,0
0.916,96.231,1,2
8.488,71.183,0,1
2.960,57.052,0,0
0.793,91.622,1,1
5.165,79.562,1,2
7.679,65.577,0,1
4.860,85.684,1,2
4.141,70.834,1,1
7.085,81.149,1,1
2.129,93.127,1,2
0.613,46.057,0,0
6.424,86.375,1,2
5.805,95.542,1,2
9.158,90.476,1,2
4.659,99.906,1,2
8.361,68.447,0,1
0.679,58.169,0,0
0.773,64.700,0,0
6.486,46.896,0,0
2.762,80.770,1,1
1.173,52.224,0,0
1.777,92.427,1,2
4.247,99.650,1,2
3.871,68.438,1,1
6.138,86.217,1,2
9.376,60.529,0,0
4.157,99.576,1,2
2.342,95.661,1,2
6.280,81.638,1,2
0.522,74.582,0,1
4.348,46.082,0,0
3.672,98.593,1,2
4.374,45.246,0,0
1.008,95.809,1,2
6.042,71.399,0,1
6.742,99.576,1,2
7.995,66.604,0,0
10.075,63.776,0,0
4.047,80.020,1,2
7.063,85.445,1,2
4.920,77.015,1,1
2.650,46.607,0,0
9.393,54.553,0,0
7.959,67.373,0,0
9.928,62.954,0,0
8.715,80.743,1,1
9.675,97.876,1,2
1.780,79.440,1,1
0.657,76.841,0,1
2.486,48.346,0,0
4.621,61.346,0,1
7.376,89.334,1,2
4.885,90.218,1,2
5.633,53.999,0,0
8.110,83.297,1,1
1.206,91.992,1,2
7.283,96.034,1,2
0.987,70.501,0,0
2.986,66.823,0,1
7.723,48.849,0,0
7.331,60.786,0,0
4.553,49.994,0,0
3.446,74.595,1,1
8.781,56.996,0,0
3.248,93.555,1,2
0.812,54.552,0,0
2.973,47.991,0,0
0.712,94.814,1,2
8.607,78.423,1,1
1.723,78.233,0,1
10.240,80.820,0,1
2.630,48.037,0,0
3.561,48.959,0,0
6.352,62.546,0,1
3.582,69.095,1,1
4.293,72.688,1,1
1.542,85.154,1,1
4.391,77.465,1,1
0.752,71.668,0,0
2.740,88.298,1,2
9.595,75.348,0,1
3.308,48.128,0,0
3.209,72.688,1,1
7.293,65.042,0,1
9.329,65.017,0,0
3.458,56.174,0,0
4.263,83.591,1,2
7.647,57.002,0,0
8.421,52.019,0,0
6.638,81.069,1,1
2.290,89.071,1,2
2.307,95.069,1,2
8.080,57.391,0,0
7.568,45.286,0,0
9.463,74.498,0,1
8.298,98.985,1,2
4.712,57.889,0,1
1.833,64.281,0,0
9.405,94.353,1,2
7.455,81.232,1,1
6.264,78.270,1,1
7.319,85.262,1,2
4.351,53.965,0,0
3.933,70.088,1,1
6.254,56.855,0,0
5.327,78.253,1,1
7.590,80.589,1,1
9.861,73.551,0,1
8.973,86.463,1,2
4.375,53.417,0,0
4.225,70.711,1,1
9.768,45.512,0,0
4.446,58.099,0,1
8.502,50.477,0,0
1.427,61.399,0,0
5.011,94.694,1,2
5.662,94.961,1,2
8.588,60.904,0,0
9.276,75.443,0,1
2.027,60.076,0,0
6.672,58.394,0,0
6.791,71.447,1,1
2.015,96.389,1,2
8.836,94.938,1,2
6.035,94.037,1,2
10.117,96.168,1,2
2.363,91.880,1,2
5.750,53.401,0,0
3.735,45.926,0,0
6.925,62.739,0,0
6.581,48.269,0,0
5.624,57.828,0,0
3.749,55.520,0,0
5.539,72.737,0,1
4.223,96.231,1,2
9.408,82.591,1,1
5.115,82.915,1,2
5.252,70.566,0,1
3.086,91.968,1,2
3.038,81.732,1,1
10.039,98.424,1,2
3.640,48.048,0,0
9.183,64.056,0,0
6.448,80.632,1,1
10.305,63.519,0,0
2.141,65.934,0,1
9.916,65.474,0,0
8.225,90.048,1,2
6.180,57.197,0,0
7.589,85.299,1,2
7.724,56.260,0,0
4.984,79.540,1,1
6.845,76.642,1,1
2.786,55.474,0,0
0.714,78.039,0,1
7.265,53.615,0,0
5.245,76.052,1,1
9.556,82.950,1,1
3.140,59.549,0,0
8.680,58.098,0,0
10.363,59.171,0,0
9.481,47.252,0,0
10.144,75.839,0,1
2.091,78.708,1,1
2.151,95.534,1,2
2.783,50.359,0,0
4.115,62.865,0,1
1.654,98.655,1,2
2.007,74.957,0,1
0.685,71.304,0,0
9.833,68.676,0,1
4.111,74.712,1,1
6.760,87.412,1,2
5.045,48.005,0,0
7.931,70.922,0,1
8.561,49.002,0,0
4.330,50.527,0,0
5.853,66.159,0,1
1.475,53.858,0,0
3.355,56.183,0,0
2.728,69.634,0,1
3.586,92.752,1,2
3.745,97.217,1,2
6.250,71.937,0,1
3.828,58.163,0,0
3.769,75.116,1,1
8.813,63.749,0,0
0.621,90.803,1,2
0.553,97.530,1,2
1.071,45.819,0,0
9.155,47.110,0,0
6.837,83.957,1,2
7.780,98.228,1,2
10.077,59.619,0,0
2.680,79.465,1,1
9.700,45.920,0,0
2.926,85.895,1,2
5.689,72.447,1,1
7.311,98.842,1,2
8.473,96.735,1,2
2.981,51.590,0,0
5.270,56.192,0,0
0.956,79.075,0,1
3.379,52.984,0,0
10.310,78.234,0,1
9.551,87.345,1,2
6.321,74.192,1,1
8.365,69.316,0,1
9.522,99.179,1,2
3.819,92.802,1,2
10.305,85.630,1,1
4.985,80.663,1,2
2.089,54.127,0,0
5.801,56.288,0,0
6.436,80.451,1,1
7.428,85.626,1,2
7.210,62.967,0,0
0.914,74.846,0,1
6.890,61.954,0,0
9.716,93.011,1,2
7.201,70.991,1,1
10.252,60.544,0,0
5.615,90.322,1,2
8.602,67.440,0,1
1.903,86.184,1,2
9.455,58.391,0,0
4.864,77.460,1,1
9.267,65.747,0,0
3.708,55.558,0,0
6.743,81.753,1,1
8.966,86.286,1,2
7.614,78.009,1,1
6.699,70.526,0,1
10.206,85.719,1,1
1.380,51.120,0,0
1.520,46.594,0,0
6.016,56.912,0,0
10.047,85.432,1,2
7.365,74.930,1,1
3.596,61.877,0,1
1.577,82.427,1,1
4.983,64.239,0,1
5.303,64.098,0,1
5.183,87.859,1,2
6.693,98.743,1,2
3.228,99.416,1,2
9.304,60.395,0,0
3.383,77.924,1,1
1.571,57.333,0,0
3.990,55.124,0,0
9.857,57.366,0,0
2.094,85.322,1,1
3.277,87.002,1,2
9.766,69.250,0,1
3.981,62.074,0,1
8.931,61.604,0,0
0.954,63.375,0,0
9.385,89.680,1,2
2.873,66.940,0,1
2.306,57.548,0,0
7.922,91.280,1,2
10.395,53.670,0,0
10.093,96.663,1,2
8.023,67.038,0,1
9.643,88.507,1,2
10.371,73.200,0,1
6.028,83.407,1,2
1.946,81.218,0,1
8.994,77.071,0,1
4.459,96.308,1,2
3.627,75.648,1,1
5.509,75.146,1,1
0.849,87.671,1,1
0.687,70.407,0,0
3.143,65.372,0,1
6.459,80.623,1,1
7.994,69.174,0,1
10.072,55.205,0,0
8.681,77.037,1,1
9.911,64.207,0,0
6.863,73.123,0,1
7.839,91.058,1,2
6.374,98.301,1,2
1.314,99.729,1,2
1.119,49.818,0,0
8.101,95.011,1,2
2.523,98.291,1,2
8.398,68.135,0,0
5.141,65.851,0,1
0.569,70.433,0,0
6.115,50.524,0,0
4.930,82.620,1,2
1.239,58.367,0,0
3.111,56.321,0,0
3.566,70.411,0,1
3.957,90.730,1,2
7.568,48.925,0,0
2.173,75.430,1,1
4.933,95.936,1,2
6.568,92.800,1,2
9.963,53.056,0,0
1.650,60.052,0,0
1.293,46.937,0,0
2.417,87.949,1,2
2.706,48.522,0,0
2.128,78.454,1,1
1.260,91.071,1,2
2.595,82.602,1,2
2.734,91.427,1,2
5.295,78.461,1,1
6.977,47.568,0,0
4.139,54.603,0,0
2.182,93.841,1,2
1.447,52.411,0,0
3.131,64.316,0,1
2.208,67.809,0,0
5.310,85.293,1,2
9.211,99.781,1,2
7.665,87.590,1,2
2.532,52.364,0,0
0.858,48.510,0,0
1.176,71.570,0,0
4.858,52.839,0,0
4.136,66.644,0,1
7.324,79.036,1,1
1.339,72.332,0,1
3.046,64.307,0,1
7.358,67.425,0,1
6.181,99.985,1,2
5.667,87.721,1,2
9.517,51.792,0,0
1.633,71.174,0,1
2.455,84.634,1,2
6.156,98.306,1,2
6.153,61.778,0,0
10.301,89.572,1,1
10.274,86.160,1,1
6.373,51.194,0,0
8.089,47.051,0,0
7.474,49.043,0,0
1.829,50.458,0,0
6.523,83.190,1,1
3.558,47.134,0,0
4.090,87.028,1,2
2.063,77.015,0,1
0.583,95.941,1,2
9.036,61.269,0,0
7.671,93.505,1,2
8.022,96.357,1,2
3.380,72.043,1,1
4.674,66.407,0,1
2.261,74.348,0,1
6.522,89.978,1,2
8.892,93.144,1,2
8.288,79.915,1,1
9.838,56.053,0,0
3.105,46.049,0,0
7.513,90.338,1,2
1.767,88.396,1,2
5.863,63.566,0,1
1.602,60.691,0,0
5.903,92.018,1,2
5.921,65.506,0,1
3.969,53.504,0,0
3.995,80.842,1,1
7.611,99.510,1,2
5.310,78.974,1,1
4.576,48.774,0,0
1.627,56.212,0,0
3.323,62.734,0,0
8.971,99.107,1,2
10.220,56.248,0,0
4.232,61.583,0,1
9.208,47.610,0,0
9.237,61.918,0,0
2.681,91.865,1,2
3.238,61.479,0,0
7.460,85.860,1,2
3.560,99.630,1,2
10.053,52.093,0,0
4.151,59.255,0,1
7.802,65.637,0,0
7.573,45.999,0,0
2.636,46.862,0,0
9.160,95.555,1,2
3.787,99.292,1,2
1.601,69.471,0,0
1.002,95.386,1,2
5.018,56.738,0,0
6.830,67.060,0,1
3.214,82.365,1,2
8.919,61.103,0,0
3.175,81.608,1,2
8.975,78.152,1,1
0.831,98.251,1,2
3.127,89.976,1,2
2.095,63.711,0,0
4.977,76.734,1,1
4.008,71.732,1,1
4.448,73.423,1,1
9.015,74.790,1,1
6.296,70.358,0,1
6.554,46.897,0,0
4.400,53.060,0,0
8.580,58.447,0,0
5.518,97.450,1,2
7.960,95.972,1,2
9.642,81.796,1,1
6.620,94.726,1,2
4.852,88.150,1,2
3.136,79.198,1,1
9.620,59.776,0,0
8.149,55.317,0,0
8.495,46.738,0,0
2.714,96.506,1,2
4.867,62.962,0,1
9.336,98.969,1,2
2.960,46.663,0,0
8.639,73.980,0,1
5.886,97.149,1,2
2.688,47.789,0,0
4.255,99.997,1,2
1.262,86.924,1,2
7.231,60.677,0,0
7.769,98.697,1,2
0.790,88.997,1,1
3.514,60.357,0,0
8.188,95.754,1,2
2.504,58.326,0,0
5.870,92.552,1,2
8.559,91.327,1,2
6.200,81.857,1,1
1.722,73.961,0,0
9.592,62.105,0,0
7.967,54.129,0,0
6.149,68.516,0,1
3.828,52.972,0,0
6.323,74.302,0,1
4.415,77.596,1,1
1.687,85.567,1,1
1.721,66.065,0,0
0.953,68.862,0,0
2.204,85.435,1,2
2.956,65.356,0,0
6.853,50.414,0,0
6.302,93.707,1,2
6.405,53.469,0,0
8.720,48.162,0,0
1.451,58.199,0,0
4.389,91.571,1,2
1.293,86.577,1,1
4.688,51.285,0,0
1.288,80.474,0,1
1.163,92.883,1,2
1.543,96.486,1,2
4.399,74.637,1,1
8.131,92.746,1,2
3.319,64.716,0,1
7.918,46.574,0,0
2.833,53.550,0,0
3.372,59.711,0,0
5.214,47.276,0,0
1.250,98.139,1,2
4.989,99.990,1,2
6.336,94.114,1,2
8.746,74.127,0,1
1.062,68.859,0,0
8.499,62.975,0,0
6.197,76.234,1,1
6.283,52.138,0,0
1.011,87.431,1,2
9.299,63.847,0,0
3.273,89.087,1,2
5.965,50.538,0,0
5.886,60.184,0,0
9.601,90.543,1,2
6.514,88.316,1,2
10.414,81.130,1,1
2.821,76.584,1,1
7.122,99.182,1,2
6.268,81.423,1,2
5.635,62.385,0,1
6.776,55.786,0,0
6.006,68.711,0,1
3.868,96.150,1,2
6.916,54.371,0,0
1.334,92.877,1,2
5.290,86.639,1,2
5.028,54.310,0,0
2.632,45.725,0,0
6.181,48.605,0,0
7.199,73.600,1,1
1.750,58.862,0,0
3.470,84.418,1,2
1.120,75.439,0,1
6.472,66.050,0,1
1.317,75.689,0,1
2.794,84.703,1,2
4.979,84.096,1,2
5.017,52.546,0,0
0.830,59.013,0,0
9.973,56.009,0,0
2.800,78.294,0,1
6.600,97.339,1,2
2.722,70.837,0,1
6.458,48.242,0,0
4.027,66.463,0,1
3.686,61.007,0,1
5.244,69.810,0,1
6.363,98.465,1,2
6.482,98.150,1,2
7.385,75.549,1,1
3.186,85.085,1,2
1.416,46.308,0,0
3.034,76.826,1,1
3.767,78.961,1,1
6.574,91.233,1,2
4.644,68.733,1,1
3.613,68.074,1,1
1.483,91.892,1,2
6.466,52.496,0,0
1.600,97.640,1,2
5.669,83.575,1,2
7.384,92.772,1,2
6.731,93.237,1,2
2.097,66.803,0,0
4.060,95.904,1,2
9.909,84.664,1,1
1.408,79.409,0,1
7.288,52.151,0,0
4.864,72.487,1,1
6.635,75.889,1,1
4.437,53.192,0,0
1.738,63.421,0,0
6.124,71.352,1,1
0.561,57.137,0,0
9.140,58.605,0,0
8.487,66.997,0,1
4.238,52.325,0,0
5.874,62.053,0,0
5.775,66.941,0,1
10.297,58.990,0,0
0.937,57.212,0,0
3.477,68.155,0,1
4.570,81.619,1,2
8.374,48.213,0,0
7.800,63.140,0,0
4.734,60.605,0,1
0.617,77.309,0,0
6.979,50.269,0,0
4.568,51.661,0,0
1.668,96.790,1,2
6.810,75.144,1,1
4.949,77.747,1,1
3.564,53.856,0,0
3.191,45.907,0,0
5.708,49.637,0,0
2.977,47.397,0,0
4.433,64.997,0,1
9.920,58.327,0,0
5.278,97.812,1,2
3.035,47.298,0,0
5.713,45.075,0,0
9.673,49.590,0,0
9.162,45.440,0,0
7.272,71.809,1,1
9.491,67.112,0,0
8.066,61.811,0,0
7.301,97.934,1,2
4.781,86.066,1,2
1.994,55.491,0,0
7.820,50.199,0,0
6.843,93.687,1,2
10.179,91.820,1,2
3.710,49.163,0,0
9.267,91.206,1,2
2.686,78.477,1,1
9.963,87.872,1,1
10.458,84.915,0,1
0.972,62.565,0,0
3.746,92.120,1,2
10.483,47.342,0,0
10.183,96.454,1,2
7.206,47.873,0,0
1.845,81.566,1,1
0.566,70.825,0,0
2.992,79.984,1,2
9.944,96.173,1,2
8.549,84.930,1,2
4.785,72.361,1,1
8.112,82.808,1,2
9.523,65.259,0,0
3.499,52.847,0,0
9.244,52.484,0,0
3.195,59.743,0,0
3.787,94.576,1,2
0.947,68.939,0,0
2.102,82.913,1,1
6.009,63.587,0,1
0.739,90.557,1,2
5.958,79.738,1,1
2.200,58.762,0,0
7.988,47.916,0,0
1.780,87.620,1,2
2.570,54.825,0,0
3.189,86.897,1,2
6.327,52.808,0,0
8.585,89.474,1,2
8.032,83.345,1,2
7.912,54.947,0,0
7.317,69.679,0,1
5.934,81.075,1,2
3.926,54.983,0,0
2.299,55.910,0,0
9.137,54.930,0,0
4.592,48.617,0,0
7.002,97.518,1,2
1.183,57.061,0,0
4.109,75.180,1,1
1.504,54.851,0,0
4.045,59.946,0,1
7.832,93.845,1,2
3.911,55.404,0,0
7.322,48.967,0,0
1.732,91.200,1,2
4.350,73.028,1,1
4.601,69.545,1,1
5.590,96.588,1,2
2.784,64.840,0,0
7.487,87.839,1,2
9.323,67.120,0,1
8.626,68.701,0,1
0.809,85.456,1,1
5.381,66.857,0,1
3.940,46.447,0,0
6.228,59.505,0,0
1.333,92.743,1,2
7.796,62.868,0,0
4.668,78.374,1,1
9.939,78.347,1,1
0.691,88.866,1,1
4.677,65.822,0,1
5.367,81.798,1,2
8.811,65.208,0,1
8.064,59.178,0,0
2.320,49.060,0,0
3.577,89.852,1,2
7.858,49.337,0,0
4.697,65.969,0,1
3.130,80.263,1,2
9.807,59.919,0,0
8.931,72.541,0,1
4.054,90.621,1,2
5.995,85.839,1,2
9.792,63.997,0,0
2.666,94.739,1,2
9.591,92.510,1,2
9.345,89.873,1,2
7.765,57.123,0,0
7.361,66.984,0,1
7.350,99.826,1,2
5.942,77.508,1,1
6.323,58.472,0,0
2.473,69.561,0,1
6.126,65.152,0,1
7.229,76.176,1,1
5.355,62.322,0,1
7.293,97.089,1,2
5.082,72.391,1,1
8.535,71.965,0,1
7.709,46.748,0,0
1.390,57.744,0,0
8.193,56.229,0,0
3.348,68.052,0,1
1.314,48.683,0,0
1.712,61.696,0,0
3.740,91.099,1,2
5.746,72.469,0,1
3.802,94.495,1,2
2.534,67.364,0,1
8.192,77.087,1,1
4.238,92.461,1,2
9.239,65.188,0,0
2.945,70.750,0,1
7.399,67.891,0,1
4.075,74.043,1,1
8.997,60.143,0,0
6.964,84.678,1,2
7.286,56.992,0,0
1.429,48.654,0,0
8.014,51.955,0,0
4.044,53.617,0,0
7.902,72.289,1,1
8.952,87.529,1,2
1.724,68.312,0,1
0.653,54.067,0,0
8.080,50.832,0,0
10.185,87.191,1,1
9.504,66.616,0,0
4.855,46.331,0,0
8.836,82.905,1,1
0.735,90.078,1,2
1.085,97.478,1,2
6.315,92.672,1,2
5.775,46.735,0,0
8.749,82.580,1,2
2.835,76.544,1,1
5.127,65.970,1,1
10.395,51.187,0,0
3.528,52.950,0,0
4.545,87.799,1,2
6.575,62.653,0,1
10.451,79.905,0,1
2.327,76.846,0,1
7.410,84.754,1,2
4.642,84.009,1,2
4.507,65.951,0,1
3.068,53.244,0,0
5.154,73.061,0,1
6.248,59.203,0,1
4.422,85.989,1,2
5.557,75.929,1,1
6.860,77.156,1,1
9.017,85.461,1,2
6.110,84.423,1,2
4.326,71.216,1,1
10.115,89.995,1,2
2.225,87.308,1,2
0.955,88.393,1,1
9.584,50.144,0,0
3.159,88.205,1,2
2.015,75.680,0,1
4.353,70.742,0,1
3.929,87.332,1,2
4.047,93.352,1,2
9.011,90.095,1,2
3.404,47.845,0,0
1.826,93.426,1,2
2.657,54.477,0,0
9.997,75.301,0,1
4.788,95.565,1,2
4.107,56.776,0,0
8.274,82.238,1,1
9.856,63.344,0,0
5.602,53.937,0,0
8.646,92.249,1,2
3.146,88.684,1,2
4.004,95.253,1,2
6.264,48.482,0,0
2.864,56.125,0,0
3.252,49.267,0,0
2.375,48.940,0,0
3.123,72.044,0,1
8.893,90.228,1,2
8.448,90.065,1,2
1.639,45.572,0,0
3.989,62.676,0,1
7.722,62.666,0,1
9.097,97.819,1,2
6.102,60.452,0,0
7.766,87.222,1,2
2.874,54.403,0,0
8.318,56.157,0,0
8.709,80.992,1,1
4.570,76.323,1,2
2.858,76.015,1,1
0.831,53.931,0,0
6.795,91.061,1,2
6.825,91.254,1,2
0.512,58.471,0,0
5.701,76.565,1,1
9.884,63.133,0,0
0.789,55.528,0,0
1.874,96.909,1,2
1.078,75.673,0,1
4.865,50.253,0,0
4.348,69.029,1,1
9.202,59.107,0,0
1.164,98.730,1,2
2.505,60.665,0,0
9.880,71.251,0,1
0.690,63.141,0,0
3.092,50.966,0,0
4.443,93.805,1,2
0.506,83.743,0,1
3.372,95.549,1,2
6.529,92.263,1,2
6.653,78.238,1,1
6.587,76.922,0,1
7.008,83.497,1,2
6.645,66.355,0,1
0.846,84.905,1,1
7.048,52.347,0,0
6.338,77.217,1,1
2.678,83.605,1,2
4.695,52.541,0,0
2.877,47.448,0,0
9.180,67.716,0,1
3.288,87.342,1,2
2.129,62.191,0,0
8.466,54.142,0,0
8.111,83.537,1,1
9.022,85.009,1,2
7.274,60.566,0,0
4.668,53.960,0,0
5.255,69.030,1,1
6.052,54.885,0,0
6.460,45.627,0,0
9.952,90.491,1,2
3.154,73.931,1,1
8.184,55.090,0,0
0.669,61.205,0,0
2.402,62.586,0,0
9.944,68.836,0,0
3.011,96.264,1,2
5.611,89.306,1,2
9.665,51.012,0,0
7.046,83.958,1,1
5.385,69.922,0,1
7.518,58.973,0,0
10.284,48.673,0,0
9.912,79.340,1,1
2.313,98.229,1,2
1.900,46.768,0,0
3.379,95.159,1,2
1.951,91.939,1,2
8.141,63.001,0,0
8.838,84.412,1,2
1.907,83.864,1,1
1.232,83.254,1,1
3.737,79.361,1,1
7.369,89.591,1,2
8.202,92.508,1,2
5.107,58.268,0,0
6.891,73.004,1,1
9.675,95.013,1,2
9.302,50.461,0,0
1.677,75.344,0,1
7.632,88.853,1,2
8.266,94.496,1,2
9.573,81.215,1,1
4.681,73.766,1,1
2.060,72.217,0,1
5.238,59.563,0,0
4.202,63.703,0,1
4.437,82.920,1,2
8.528,93.608,1,2
7.019,97.215,1,2
7.301,95.996,1,2
7.027,59.776,0,0
1.917,58.532,0,0
1.084,49.500,0,0
4.451,94.385,1,2
8.997,75.780,0,1
6.987,63.294,0,0
8.414,80.710,1,1
6.725,90.425,1,2
8.343,84.923,1,2
10.462,55.485,0,0
7.633,75.853,1,1
9.117,46.008,0,0
10.229,60.348,0,0
7.906,76.218,1,1
